DriverNumber,Driver,TeamName,GridPosition,FinishPosition,Points,Status,Laps,Year,Race,avg_temp,avg_rainfall,is_wet_race,DNF
44,HAM,Mercedes,8.0,6.0,8.0,Finished,57.0,2024,Miami Grand Prix,28.521999999999995,0.0,0,0
22,TSU,RB,10.0,7.0,6.0,Finished,57.0,2024,Miami Grand Prix,28.521999999999995,0.0,0,0
63,RUS,Mercedes,7.0,8.0,4.0,Finished,57.0,2024,Miami Grand Prix,28.521999999999995,0.0,0,0
14,ALO,Aston Martin,15.0,9.0,2.0,Finished,57.0,2024,Miami Grand Prix,28.521999999999995,0.0,0,0
31,OCO,Alpine,13.0,10.0,1.0,Finished,57.0,2024,Miami Grand Prix,28.521999999999995,0.0,0,0
27,HUL,Haas F1 Team,9.0,11.0,0.0,Finished,57.0,2024,Miami Grand Prix,28.521999999999995,0.0,0,0
10,GAS,Alpine,12.0,12.0,0.0,Finished,57.0,2024,Miami Grand Prix,28.521999999999995,0.0,0,0
81,PIA,McLaren,6.0,13.0,0.0,Finished,57.0,2024,Miami Grand Prix,28.521999999999995,0.0,0,0
24,ZHO,Kick Sauber,19.0,14.0,0.0,Finished,57.0,2024,Miami Grand Prix,28.521999999999995,0.0,0,0
3,RIC,RB,20.0,15.0,0.0,Finished,57.0,2024,Miami Grand Prix,28.521999999999995,0.0,0,0
77,BOT,Kick Sauber,16.0,16.0,0.0,Finished,57.0,2024,Miami Grand Prix,28.521999999999995,0.0,0,0
18,STR,Aston Martin,11.0,17.0,0.0,Finished,57.0,2024,Miami Grand Prix,28.521999999999995,0.0,0,0
23,ALB,Williams,14.0,18.0,0.0,Finished,57.0,2024,Miami Grand Prix,28.521999999999995,0.0,0,0
20,MAG,Haas F1 Team,18.0,19.0,0.0,Finished,57.0,2024,Miami Grand Prix,28.521999999999995,0.0,0,0
2,SAR,Williams,17.0,20.0,0.0,Retired,27.0,2024,Miami Grand Prix,28.521999999999995,0.0,0,1
1,VER,Red Bull Racing,1.0,1.0,25.0,Finished,63.0,2024,Emilia Romagna Grand Prix,25.113986013986015,0.0,0,0
4,NOR,McLaren,2.0,2.0,18.0,Finished,63.0,2024,Emilia Romagna Grand Prix,25.113986013986015,0.0,0,0
16,LEC,Ferrari,3.0,3.0,15.0,Finished,63.0,2024,Emilia Romagna Grand Prix,25.113986013986015,0.0,0,0
81,PIA,McLaren,5.0,4.0,12.0,Finished,63.0,2024,Emilia Romagna Grand Prix,25.113986013986015,0.0,0,0
55,SAI,Ferrari,4.0,5.0,10.0,Finished,63.0,2024,Emilia Romagna Grand Prix,25.113986013986015,0.0,0,0
44,HAM,Mercedes,8.0,6.0,8.0,Finished,63.0,2024,Emilia Romagna Grand Prix,25.113986013986015,0.0,0,0
63,RUS,Mercedes,6.0,7.0,7.0,Finished,63.0,2024,Emilia Romagna Grand Prix,25.113986013986015,0.0,0,0
11,PER,Red Bull Racing,11.0,8.0,4.0,Finished,63.0,2024,Emilia Romagna Grand Prix,25.113986013986015,0.0,0,0
18,STR,Aston Martin,13.0,9.0,2.0,Finished,63.0,2024,Emilia Romagna Grand Prix,25.113986013986015,0.0,0,0
22,TSU,RB,7.0,10.0,1.0,Lapped,62.0,2024,Emilia Romagna Grand Prix,25.113986013986015,0.0,0,1
27,HUL,Haas F1 Team,10.0,11.0,0.0,Lapped,62.0,2024,Emilia Romagna Grand Prix,25.113986013986015,0.0,0,1
